Parental Level,Game Title,File Offset,PlayStation PRO Support,Current Version,Instant Download,Package Size,PlayStation VR,Piece,SHA1 Hash,Title ID,Play Together
3,F1 2015,0,No,1.08,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00020_00/31/f_cb70140783edea51e025878a4229eb22610ec7087ea14e0ba55de0f3245d8199/f/UP4001-CUSA00020_00-F12015AMASTER000-A0108-V0100.pkg,747.6MB,No,0,21a98e2a9a46efde33fa0181a8a58216e145ed2c,CUSA00020_00,
9,WATCH_DOGS,0,No,1.05,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00021_00/10/f_9f95f4fa9abbeeb8ef6127a7212b61879422b31f8cf5262497cf1ab578c1b965/f/UP0001-CUSA00021_00-WATCHDOGS0000000-A0105-V0100.pkg,112.1MB,No,0,bccc7bdfefdde7e896902588eba2d7e2b456dea1,CUSA00021_00,
9,WATCH_DOGS,0,No,1.03,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00022_00/5/f_c30256958383f3bb22db159366fdb6e168cec19239a6fdb2052232c27c99eb3e/f/JP0001-CUSA00022_00-WATCHDOGS0000000-A0103-V0100.pkg,112.1MB,No,0,aca17df4d08b34b799423631c8ee11cb42504ea9,CUSA00022_00,
3,Skylanders SWAP Force,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00024_00/2/f_ce9d3d85b85a72e509da6dcfc0fb49324b01ba5baf387b2464714fdfdd0087c2/f/EP0002-CUSA00024_00-SKYLANDERFORCEDL-A0101-V0100.pkg,40MB,No,0,a4588ec460475d5b00b940739e2b9c66bdc5bb56,CUSA00024_00,
7,Call of Duty Ghosts,0,No,1.2,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00025_00/18/f_5143261983e61bd6db1f6895a7bae394c2c6e78f013ab92a957a8b8cb465973b/f/EP0002-CUSA00025_00-CALLDUTYGHOSTSDL-A0120-V0100.pkg,2.4GB,No,0,6c35d280f0f48d568cd70f0f370693d73869d012,CUSA00025_00,
9,Call of Duty Ghosts,0,No,1.2,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00028_00/18/f_2615503bb1f02fcf56bce94579021080ddad9b68888dce93a7823871a1877d25/f/EP0002-CUSA00028_00-CALLDUTYGHOSTSDL-A0120-V0100.pkg,2.4GB,No,0,a37e7418fc98473714fcf957858abde3e41fa9d5,CUSA00028_00,
2,SingStar,0,No,1.1,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00033_00/16/f_10b2cffad10b416ed80c1b3b6d88cf708efe472745fe0ae1a7f24c92c110ee6d/f/EP9000-CUSA00033_00-SINGSTARE3XX2013-A0110-V0100.pkg,130.2MB,No,0,9b36a571bc555bcf43163decbf2a95ff13da4686,CUSA00033_00,
5,Escape Plan,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00034_00/1/f_560d6e9df228c767501e7af1d22300b84925f3ecbc6eeeacce71851afedf7d5d/f/UP9000-CUSA00034_00-ESCPGAMEMASTERUS-A0101-V0100.pkg,59.1MB,No,0,44f5bed1eb584ba02c1e9f7df65198f45a8edf94,CUSA00034_00,
9,The Order: 1886,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00035_00/7/f_96552741c8ea39535d8cb7e24a79ca3c4b6f2ec26e2b07b25dad063590f7a64d/f/UP9000-CUSA00035_00-TO1886GAME000000-A0102-V0100.pkg,58.2MB,No,0,50a132f96afd0c90a991e63b6dee9b147b28c888,CUSA00035_00,
4,Doki-Doki Universe,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00036_00/3/f_c89a5dee3cd70f93788ac0185ac790ba0b1359254721ad9e938b5f5c73c4ffb0/f/UP9000-CUSA00036_00-DDU0000000000000-A0102-V0100.pkg,64.7MB,No,0,86426ad389e84ab7c95ebf7b2a1a5124a18769ff,CUSA00036_00,
